,index,Driver,Vehicle,Tire,Glider,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Total,Balance,AverageSpeed,WeightedSpeed,AverageHandling,WeightedHandling,GroundMastery,WaterMastery,AirMastery,AntiGravityMastery,DriftMastery,CollisionMastery
0,14596,Baby Daisy,Buggybud,Azure Roller,Bowser Kite,0.75,1.75,2.0,1.5,5.5,1.0,5.75,5.5,5.75,5.5,4.0,5.75,44.75,2.869436871992702,1.5,1.3,5.625,5.625,3.25,3.625,3.875,3.5,5.125,3.375
1,26354,Baby Rosalina,Buggybud,Azure Roller,Parafoil,0.75,1.75,2.0,1.5,5.75,1.0,5.5,5.25,5.5,5.25,3.5,5.75,43.5,2.9288233471592218,1.5,1.3,5.375,5.375,3.125,3.5,3.75,3.375,4.875,3.25
2,14601,Baby Daisy,Buggybud,Azure Roller,Paper Glider,0.75,2.0,2.0,1.5,5.5,0.75,5.75,5.25,5.75,5.75,4.25,5.75,45.0,2.8520622998707883,1.5625,1.35,5.625,5.65,3.25,3.625,3.875,3.625,5.208333333333333,3.25
3,26195,Baby Rosalina,Buggybud,Roller,Cloud Glider,0.75,2.0,2.0,1.5,5.75,0.75,5.5,5.0,5.5,5.5,3.75,5.75,43.75,2.9152656226170133,1.5625,1.35,5.375,5.4,3.125,3.5,3.75,3.5,4.958333333333333,3.125
4,20430,Baby Daisy,Mr Scooty,Cushion,Peach Parasol,1.0,1.25,2.25,1.75,5.0,1.25,5.25,4.75,5.5,5.0,4.5,5.25,42.75,3.1379233244963984,1.5625,1.4,5.125,5.1,3.125,3.0,3.875,3.375,4.958333333333333,3.25
5,14526,Baby Daisy,Buggybud,Sponge,Bowser Kite,1.0,1.25,2.25,1.75,5.0,1.25,5.25,4.75,5.5,5.25,4.5,5.25,43.0,3.1190750180087488,1.5625,1.4,5.1875,5.175,3.125,3.0,3.875,3.5,4.979166666666667,3.25
6,32190,Baby Rosalina,Mr Scooty,Cushion,Peach Parasol,1.0,1.25,2.25,1.75,5.25,1.25,5.0,4.5,5.25,4.75,4.0,5.25,41.5,3.2104046504442643,1.5625,1.4,4.875,4.85,3.0,2.875,3.75,3.25,4.708333333333333,3.125
7,26284,Baby Rosalina,Buggybud,Sponge,Parafoil,1.0,1.25,2.25,1.75,5.25,1.25,5.0,4.5,5.25,5.0,4.0,5.25,41.75,3.1926339690873435,1.5625,1.4,4.9375,4.925,3.0,2.875,3.75,3.375,4.729166666666667,3.125
8,20380,Baby Daisy,Mr Scooty,Button,MKTV Parafoil,1.0,1.5,1.75,2.0,5.25,1.0,5.5,5.25,5.25,5.5,3.75,5.5,43.25,3.0244151230431515,1.5625,1.475,5.375,5.425,3.25,3.375,3.5,3.75,4.875,3.25
9,26256,Baby Rosalina,Buggybud,Button,Parafoil,1.0,1.5,1.75,2.0,5.5,1.0,5.25,5.0,5.0,5.25,3.25,5.5,42.0,3.0811935527995065,1.5625,1.475,5.125,5.175,3.125,3.25,3.375,3.625,4.625,3.125
10,14547,Baby Daisy,Buggybud,Cushion,Cloud Glider,1.0,1.5,2.25,1.75,5.0,1.0,5.25,4.5,5.5,5.25,4.75,5.25,43.0,3.116056682317001,1.625,1.45,5.125,5.125,3.125,3.0,3.875,3.5,5.041666666666667,3.125
11,20403,Baby Daisy,Mr Scooty,Sponge,Parachute,1.0,1.5,2.25,1.75,5.0,1.0,5.25,4.5,5.5,5.5,4.75,5.25,43.25,3.0946894391377207,1.625,1.45,5.1875,5.2,3.125,3.0,3.875,3.625,5.0625,3.125
12,26311,Baby Rosalina,Buggybud,Cushion,Parachute,1.0,1.5,2.25,1.75,5.25,1.0,5.0,4.25,5.25,5.0,4.25,5.25,41.75,3.1926339690873435,1.625,1.45,4.875,4.875,3.0,2.875,3.75,3.375,4.791666666666667,3.0
13,26279,Baby Rosalina,Buggybud,Sponge,Cloud Glider,1.0,1.5,2.25,1.75,5.25,1.0,5.0,4.25,5.25,5.25,4.25,5.25,42.0,3.1721846124651725,1.625,1.45,4.9375,4.95,3.0,2.875,3.75,3.5,4.8125,3.0
14,14691,Baby Daisy,Buggybud,Leaf Tyres,Parachute,1.0,1.75,1.75,2.0,5.25,0.75,5.5,5.0,5.25,5.75,4.0,5.5,43.5,3.0071149282783742,1.625,1.525,5.375,5.45,3.25,3.375,3.5,3.875,4.958333333333333,3.125
15,26251,Baby Rosalina,Buggybud,Button,Cloud Glider,1.0,1.75,1.75,2.0,5.5,0.75,5.25,4.75,5.0,5.5,3.5,5.5,42.25,3.0680369929509363,1.625,1.525,5.125,5.2,3.125,3.25,3.375,3.75,4.708333333333333,3.0
16,14445,Baby Daisy,Buggybud,Roller,Gold Glider,1.0,1.75,2.25,1.5,5.25,1.25,5.75,5.5,5.5,5.5,4.0,5.5,44.75,3.007233725636038,1.625,1.425,5.5625,5.6,3.375,3.625,3.875,3.5,5.020833333333333,3.5
17,32237,Baby Rosalina,Mr Scooty,Azure Roller,Plane Glider,1.0,1.75,2.25,1.5,5.5,1.25,5.5,5.25,5.25,5.25,3.5,5.5,43.5,3.0708574679171816,1.625,1.425,5.3125,5.35,3.25,3.5,3.75,3.375,4.770833333333333,3.375
18,14591,Baby Daisy,Buggybud,Azure Roller,Waddle Wing,1.0,2.0,2.25,1.25,5.25,1.0,5.75,5.25,5.5,5.75,4.25,5.5,44.75,2.964914751245794,1.625,1.4,5.5625,5.625,3.375,3.625,3.875,3.5,5.104166666666667,3.375
19,26194,Baby Rosalina,Buggybud,Roller,Super Glider,1.0,2.0,2.25,1.25,5.5,1.0,5.5,5.0,5.25,5.5,3.75,5.5,43.5,3.0329417441727404,1.625,1.4,5.3125,5.375,3.25,3.5,3.75,3.375,4.854166666666667,3.25
20,79124,Dry Bones,Mr Scooty,Roller,MKTV Parafoil,1.0,2.0,2.25,1.75,5.75,1.25,5.25,5.0,5.25,5.0,3.75,5.5,43.75,3.1491453653007,1.75,1.55,5.125,5.125,3.125,3.5,3.75,3.375,4.791666666666667,3.25
21,21496,Baby Daisy,City Tripper,Roller,Parafoil,1.0,2.25,2.0,1.25,5.25,1.25,5.75,5.5,5.25,5.25,4.0,5.5,44.25,3.0398139003006515,1.625,1.425,5.4375,5.5,3.375,3.875,3.625,3.25,4.979166666666667,3.5
22,33256,Baby Rosalina,City Tripper,Roller,Parafoil,1.0,2.25,2.0,1.25,5.5,1.25,5.5,5.25,5.0,5.0,3.5,5.5,43.0,3.101036965588692,1.625,1.425,5.1875,5.25,3.25,3.75,3.5,3.125,4.729166666666667,3.375
23,73393,Dry Bones,Buggybud,Azure Roller,Parachute,1.0,2.25,2.25,1.75,5.75,1.0,5.25,4.75,5.25,5.25,4.0,5.5,44.0,3.1311971097988307,1.8125,1.6,5.125,5.15,3.125,3.5,3.75,3.5,4.875,3.125
24,12237,Baby Daisy,Pipe Frame,Azure Roller,Cloud Glider,1.0,2.5,2.0,1.25,5.25,1.0,5.75,5.25,5.25,5.5,4.25,5.5,44.5,3.0204645479151915,1.6875,1.475,5.4375,5.525,3.375,3.875,3.625,3.375,5.0625,3.375
25,33417,Baby Rosalina,City Tripper,Azure Roller,Paper Glider,1.0,2.5,2.0,1.25,5.5,1.0,5.5,5.0,5.0,5.25,3.75,5.5,43.25,3.085764057796364,1.6875,1.475,5.1875,5.275,3.25,3.75,3.5,3.25,4.8125,3.25
26,14736,Baby Daisy,Landship,Roller,Bowser Kite,1.0,2.75,2.25,1.0,5.25,1.0,5.5,5.75,5.5,4.75,4.5,5.5,44.75,3.0244151230431515,1.75,1.475,5.375,5.325,3.25,4.25,3.875,2.875,5.125,3.25
27,26498,Baby Rosalina,Landship,Roller,MKTV Parafoil,1.0,2.75,2.25,1.0,5.5,1.0,5.25,5.5,5.25,4.5,4.0,5.5,43.5,3.091585617706297,1.75,1.475,5.125,5.075,3.125,4.125,3.75,2.75,4.875,3.125
28,14733,Baby Daisy,Landship,Roller,Parachute,1.0,3.0,2.25,1.0,5.25,0.75,5.5,5.5,5.5,5.0,4.75,5.5,45.0,3.0,1.8125,1.525,5.375,5.35,3.25,4.25,3.875,3.0,5.208333333333333,3.125
29,29429,Baby Rosalina,Streetle,Roller,Cloud Glider,1.0,3.0,2.25,1.0,5.5,0.75,5.25,5.25,5.25,4.75,4.25,5.5,43.75,3.070980190811296,1.8125,1.525,5.125,5.1,3.125,4.125,3.75,2.875,4.958333333333333,3.0
30,14557,Baby Daisy,Buggybud,Cushion,Gold Glider,1.25,1.25,2.5,1.75,4.75,1.5,5.25,4.75,5.25,5.0,4.5,5.0,42.75,3.270821924097516,1.6875,1.525,5.0625,5.075,3.25,3.0,3.875,3.375,4.854166666666667,3.375
31,20409,Baby Daisy,Mr Scooty,Sponge,Gold Glider,1.25,1.25,2.5,1.75,4.75,1.5,5.25,4.75,5.25,5.25,4.5,5.0,43.0,3.2505412092289623,1.6875,1.525,5.125,5.15,3.25,3.0,3.875,3.5,4.875,3.375
32,26315,Baby Rosalina,Buggybud,Cushion,Plane Glider,1.25,1.25,2.5,1.75,5.0,1.5,5.0,4.5,5.0,4.75,4.0,5.0,41.5,3.349127870524556,1.6875,1.525,4.8125,4.825,3.125,2.875,3.75,3.25,4.604166666666667,3.25
33,26280,Baby Rosalina,Buggybud,Sponge,Wario Wing,1.25,1.25,2.5,1.75,5.0,1.5,5.0,4.5,5.0,5.0,4.0,5.0,41.75,3.329880470617674,1.6875,1.525,4.875,4.9,3.125,2.875,3.75,3.375,4.625,3.25
34,20308,Baby Daisy,Mr Scooty,Monster,Bowser Kite,1.25,1.5,1.5,2.0,4.5,2.0,4.75,4.75,5.0,4.5,4.75,4.75,41.25,3.404106833149537,1.5625,1.55,4.75,4.7,3.0,3.125,3.25,3.25,4.75,3.375
35,26338,Baby Rosalina,Buggybud,Funky Monster,Peach Parasol,1.25,1.5,1.5,2.0,4.75,2.0,4.5,4.5,4.75,4.25,4.25,4.75,40.0,3.491187502863543,1.5625,1.55,4.5,4.45,2.875,3.0,3.125,3.125,4.5,3.25
36,14695,Baby Daisy,Buggybud,Leaf Tyres,Plane Glider,1.25,1.5,2.0,2.0,5.0,1.25,5.5,5.25,5.0,5.5,3.75,5.25,43.25,3.161465710590816,1.6875,1.6,5.3125,5.4,3.375,3.375,3.5,3.75,4.770833333333333,3.375
37,32141,Baby Rosalina,Mr Scooty,Button,Gold Glider,1.25,1.5,2.0,2.0,5.25,1.25,5.25,5.0,4.75,5.25,3.25,5.25,42.0,3.222616836725713,1.6875,1.6,5.0625,5.15,3.25,3.25,3.375,3.625,4.520833333333333,3.25
38,20438,Baby Daisy,Mr Scooty,Cushion,Hylian Kite,1.25,1.5,2.5,1.5,4.75,1.25,5.25,4.5,5.25,5.25,4.75,5.0,42.75,3.2254161819534337,1.6875,1.5,5.0625,5.1,3.25,3.0,3.875,3.375,4.9375,3.25
39,14518,Baby Daisy,Buggybud,Sponge,Super Glider,1.25,1.5,2.5,1.5,4.75,1.25,5.25,4.5,5.25,5.5,4.75,5.0,43.0,3.202484880157998,1.6875,1.5,5.125,5.175,3.25,3.0,3.875,3.5,4.958333333333333,3.25
40,26318,Baby Rosalina,Buggybud,Cushion,Hylian Kite,1.25,1.5,2.5,1.5,5.0,1.25,5.0,4.25,5.0,5.0,4.25,5.0,41.5,3.308331467384221,1.6875,1.5,4.8125,4.85,3.125,2.875,3.75,3.25,4.6875,3.125
41,32161,Baby Rosalina,Mr Scooty,Sponge,Waddle Wing,1.25,1.5,2.5,1.5,5.0,1.25,5.0,4.25,5.0,5.25,4.25,5.0,41.75,3.2862244851931406,1.6875,1.5,4.875,4.925,3.125,2.875,3.75,3.375,4.708333333333333,3.125
42,79230,Dry Bones,Mr Scooty,Cushion,Peach Parasol,1.25,1.5,2.5,2.0,5.25,1.5,4.75,4.25,5.0,4.5,4.25,5.0,41.75,3.417215007231452,1.8125,1.65,4.625,4.6,3.0,2.875,3.75,3.25,4.625,3.125
43,73328,Dry Bones,Buggybud,Sponge,MKTV Parafoil,1.25,1.5,2.5,2.0,5.25,1.5,4.75,4.25,5.0,4.75,4.25,5.0,42.0,3.400994627332921,1.8125,1.65,4.6875,4.675,3.0,2.875,3.75,3.375,4.645833333333333,3.125
44,20455,Baby Daisy,Mr Scooty,Funky Monster,Cloud Glider,1.25,1.75,1.5,2.0,4.5,1.75,4.75,4.5,5.0,4.75,5.0,4.75,41.5,3.387430997482964,1.625,1.6,4.75,4.725,3.0,3.125,3.25,3.375,4.833333333333333,3.25
45,32067,Baby Rosalina,Mr Scooty,Monster,Flower Glider,1.25,1.75,1.5,2.0,4.75,1.75,4.5,4.25,4.75,4.5,4.5,4.75,40.25,3.4794650562543734,1.625,1.6,4.5,4.475,2.875,3.0,3.125,3.25,4.583333333333333,3.125
46,20569,Baby Daisy,Mr Scooty,Leaf Tyres,Waddle Wing,1.25,1.75,2.0,1.75,5.0,1.0,5.5,5.0,5.0,5.75,4.0,5.25,43.25,3.124747491750252,1.6875,1.575,5.3125,5.425,3.375,3.375,3.5,3.75,4.854166666666667,3.25
47,26458,Baby Rosalina,Buggybud,Leaf Tyres,Hylian Kite,1.25,1.75,2.0,1.75,5.25,1.0,5.25,4.75,4.75,5.5,3.5,5.25,42.0,3.1909319325334184,1.6875,1.575,5.0625,5.175,3.25,3.25,3.375,3.625,4.604166666666667,3.125
48,20542,Baby Daisy,Mr Scooty,GLA Wheels,Peach Parasol,1.25,1.75,2.0,2.0,5.0,1.5,5.5,5.25,5.5,5.25,4.25,5.0,44.25,3.206308402914664,1.75,1.65,5.375,5.375,3.375,3.5,3.75,3.625,4.875,3.5
