,Image,Driver,Weight,Acceleration,OnRoad Traction,Ground Speed,Ground Handling
,,Mario,6,2,4,7,4
,,Luigi,6,2,5,7,5
,,Peach,4,3,3,6,5
,,Daisy,4,3,3,6,5
,,Yoshi,4,3,3,6,5
,,Toad,3,4,3,4,7
,,Toadette,2,5,4,3,7
,,Koopa Troopa,2,4,1,3,8
,,Bowser,10,1,6,10,1
,,Donkey Kong,8,1,10,9,2
,,Wario,9,1,5,10,1
,,Waluigi,8,1,10,9,2
,,Rosalina,7,1,9,8,3
,,Metal Mario,10,1,8,8,3
,,Pink Gold Peach,10,1,8,8,3
,,Lakitu,2,4,1,3,8
,,Shy Guy,3,4,3,4,7
,,Baby Mario,1,5,2,2,8
,,Baby Luigi,1,5,2,2,8
,,Baby Peach,1,4,3,1,10
,,Baby Daisy,1,4,3,1,10
,,Baby Rosalina,1,5,4,1,9
,,Larry,3,4,3,4,7
,,Lemmy,1,5,4,1,9
,,Wendy,2,5,4,3,7
,,Ludwig,6,2,4,7,4
,,Iggy,6,2,5,7,5
,,Roy,8,1,10,9,2
,,Morton,10,1,6,10,1
,,Mii medium,6,2,4,7,4
,,Tanooki Mario,5,3,7,6,5
,,Link,7,1,9,8,3
,,Villager male,5,3,7,6,5
,,Isabelle,2,5,4,3,7
,,Cat Peach,3,4,2,5,6
,,Dry Bowser,9,1,5,10,1
,,Villager female,3,4,2,5,6
,,Gold Mario,10,1,8,8,3
,,Dry Bones,1,5,2,2,8
,,Bowser Jr,2,4,1,3,8
,,King Boo,7,1,9,8,3
,,Inkling Girl,3,4,2,5,6
,,Inkling Boy,5,3,7,6,5
,,Link Breath of the Wild,7,1,9,8,3
,,Birdo,4,3,3,6,5
,,Kamek,6,2,5,7,5
,,Petey Piranha,10,1,8,8,3
,,Wiggler,8,1,10,9,2
,,Diddy Kong,3,4,2,5,6
,,Funky Kong,9,1,5,10,1
,,Pauline,7,1,9,8,3
,,Peachette,4,3,3,6,5
