Body,Weight,Acceleration,On Road Traction,Ground Speed,Ground Handling
Standard Kart,2,4,3,3,3
Pipe Frame,1,6,3,2,5
Mach 8,3,3,2,3,2
Steel Driver,4,1,1,4,1
Cat Cruiser,2,5,4,2,4
Circuit Special,3,1,3,5,1
Tri Speeder,4,1,1,4,1
Badwagon,4,0,2,5,0
Prancer,1,2,1,4,3
Biddybuggy,0,7,1,0,5
Landship,0,6,0,2,4
Sneeker,2,2,1,4,3
Sports Coupe,3,3,2,3,2
Gold Standard,2,2,1,4,3
Standard Bike,1,5,3,2,4
Comet,2,5,4,2,4
Sports Bike,1,2,1,4,3
The Duke,2,4,3,3,3
Flame Rider,1,5,3,2,4
Varmint,1,6,3,2,5
Mr Scooty,0,7,1,0,5
Jet Bike,1,2,1,4,3
Yoshi Bike,2,5,4,2,4
Standard ATV,4,0,2,5,0
Wild Wiggler,1,5,3,2,4
Teddy Buggy,2,5,4,2,4
GLA,4,0,2,5,0
W 25 Silver Arrow,1,5,3,2,4
300 SL Roadster,2,4,3,3,3
Blue Falcon,0,3,1,4,2
Tanooki Kart,3,2,4,3,4
B Dasher,3,1,3,5,1
Master Cycle,2,2,1,4,3
Streetle,0,6,0,2,4
P Wing,3,1,3,5,1
City Tripper,1,6,3,2,5
Bone Rattler,4,1,1,4,1
Koopa Clown,3,2,4,3,4
Splat Buggy,0,3,1,4,2
Inkstriker,3,3,2,3,2
Mast Cycle Zero,3,2,4,3,4
