Season_Number,Rank,Country,Player_Name,MMR,Peak MMR,Played,Win Rate,
4,1,Japan,Kusaan,14568,14652,184,58.7%,
4,2,Germany,robel,13703,13720,178,52.8%,
4,3,Japan,Shigaraki,13538,13594,504,52.8%,
4,4,Japan,K4I,13496,14660,325,55.3%,
4,5,Japan,poyomaru,13256,14400,625,52.2%,
4,6,Germany,Kay,13158,13524,108,50.0%,
4,7,France,IRELKING,13157,13843,154,57.1%,
4,8,Mexico,Chibi,13154,13186,342,54.4%,
4,9,Japan,123ta,13132,13132,118,57.6%,
4,10,Japan,TROLOLOLOLOLOLOL,13124,13231,85,54.1%,
5,1,Japan,Monar,14690,14690,224,57.60%,
5,2,Japan,20000 yen player,14096,14096,354,56.50%,
5,3,Japan,moa,14065,14508,704,56.00%,
5,4,USA,Kasper,13969,14183,457,54.00%,
5,5,Germany,robel,13821,13821,257,53.30%,
5,6,Japan,Bokunoomoikomi,13768,13768,679,53.60%,
5,7,Japan,Kusaan,13595,14542,270,54.80%,
5,8,France,Beast Gohan,13589,13947,363,55.60%,
5,9,Japan,Shigaraki,13525,14189,804,55.10%,
5,10,USA,despair,13396,13668,399,52.40%,
6,1,Japan,Kusaan,15089,15277,259,57.1%,
6,2,Japan,starxlx,14099,14099,311,55.9%,
6,3,Japan,NO EXIT ORION,14097,14097,107,56.1%,
6,4,USA,robel,14085,14090,254,53.1%,
6,5,Germany,7c,14063,14295,226,53.5%,
6,6,Japan,M.Trout,14029,14029,466,53.6%,
6,7,Japan,Guti,14015,14892,267,56.6%,
6,8,France,Beast Gohan,14009,14352,347,57.1%,
6,9,Japan,Shigaraki,14001,14569,515,54.2%,
6,10,USA,Riltet,13943,14349,58,65.5%,
7,1,Japan,poyomaru,14457,15270,257,61.5%,
7,2,Japan,TROLOLOLOLOLOLOL,14310,14310,116,66.4%,
7,3,France,Starlow,14128,14288,67,61.2%,
7,4,France,starxlx,14066,14150,212,52.8%,
7,5,Japan,LAGUNA,14052,14052,210,55.2%,
7,6,Japan,atatata,14047,14324,559,55.1%,
7,7,Japan,Kusaan,13857,15037,252,58.7%,
7,8,Japan,Kana Arima,13633,13857,536,53.0%,
7,9,Japan,Shigaraki,13621,14147,356,54.8%,
7,10,Japan,SPEED LOVER,13596,14045,318,53.1%,
8,1,Japan,NO EXIT ORION,17107,17246,324,55.9%,
8,2,Japan,K4I,17010,17010,284,56.0%,
8,3,Japan,Kusaan,16756,17538,327,56.9%,
8,4,Japan,moa,16633,17151,654,55.8%,
8,5,Japan,poyomaru,16594,17769,417,56.6%,
8,6,France,Starlow,16547,16687,231,57.6%,
8,7,Japan,UNDEAD UNSHUNDI,16407,17235,283,60.1%,
8,8,France,Beast Gohan,16308,16714,287,58.9%,
8,9,Japan,a-,16245,16500,380,56.1%,
8,10,Mexico,Chibi,16035,16035,222,55.0%,
9,1,Japan,poyomaru,17686,17858,348,61.5%,
9,2,France,Beast Gohan,17051,17051,216,59.7%,
9,3,Japan,TROLOLOLOLOLOLOL,17039,17402,101,63.4%,
9,4,France,Starlow,16872,16872,157,60.5%,
9,5,Japan,NO EXIT ORION,16565,17337,253,56.1%,
9,6,Japan,mokaron,16290,16961,421,54.4%,
9,7,France,starxlx,16165,16271,242,54.5%,
9,8,Japan,Shigaraki,16063,16449,403,57.8%,
9,9,England,Toad Circuit,16063,16063,200,57.5%,
9,10,Japan,Nuclear Fusion,15963,16257,209,58.4%,
10,1,Japan,poyomaru,17616,17616,342,57.9%,
10,2,Japan,Nuclear Fusion,17026,17026,136,55.1%,
10,3,Japan,TROLOLOLOLOLOLOL,17026,17095,169,58.0%,
10,4,France,IRELKING,16318,16767,222,59.0%,
10,5,France,Starlow,16186,16627,133,61.7%,
10,6,Japan,kurtn,16013,16013,574,53.3%,
10,7,Japan,K4I,15961,16072,108,57.4%,
10,8,Japan,atatata,15822,16409,342,54.7%,
10,9,Japan,NO EXIT ORION,15813,16374,250,58.0%,
10,10,Japan,M.Trout,15681,17015,706,56.7%,
11,1,Japan,A0NATSU,17592,17921,288,58.7%,
11,2,Japan,Bokunoomoikomi,17142,17142,268,60.8%,
11,3,Japan,Nuclear Fusion,17093,17093,37,75.7%,
11,4,France,Beast Gohan,16298,16847,235,57.9%,
11,5,Japan,K4I,16251,16251,114,57.0%,
11,6,Japan,nss,16247,17012,305,58.4%,
11,7,Japan,poyomaru,16222,17028,360,56.7%,
