Body,Weight,Acceleration,On Road Traction,Ground Speed,Ground Handling
Standard Tires,2,4,2,2,3
Monster Tires,4,2,3,3,0
Roller Tires,0,6,0,0,4
Slim Tires,2,2,4,3,4
Slick Tires,3,1,4,4,2
Metal Tires,4,0,1,4,2
Button Tires,0,5,1,1,3
Off Road Tires,3,3,3,3,1
Sponge Tires,1,4,2,1,2
Wood Tires,2,2,4,3,4
Cushion Tires,1,4,2,1,2
Blue Standard Tires,2,4,2,2,3
Hot Monster Tires,4,2,3,3,0
Azure Roller Tires,0,6,0,0,4
Crimson Slim Tires,2,2,4,3,4
Cyber Slick Tires,3,1,4,4,2
Retro Off Road Tires,3,3,3,3,1
Gold Tires,4,0,1,4,2
GLA Tires,2,4,2,2,3
Triforce Tires,3,3,3,3,1
Leaf Tires,0,5,1,1,3
Ancient Tires,4,2,3,3,0
