distance(units),Banana,GreenShell,RedShell,Mushroom,Bomb,Blooper,BlueShell,TripleShroom,Star,Bullet,Shock,QueenShroom,Flower,Plant,Boomerang,Coin,Boombox,TripleBanana,TripleGreen,TripleRed,CrazyEight,Boo
1,,,24.90%,57.00%,6.20%,,,,,,,,,,6.20%,,,5.70%,,,,
840,,,11.80%,50.80%,4.90%,,,2.00%,,,,,7.90%,,6.10%,,,4.30%,12.20%,,,
1190,,,13.30%,35.30%,0.80%,,,15.90%,,,,,12.40%,0.20%,4.90%,,,6.90%,10.20%,,,
1610,,,6.80%,26.70%,1.10%,,,36.60%,,,,,4.70%,2.70%,3.20%,,,5.20%,10.20%,1.40%,,1.50%
2280,,,7.20%,16.90%,0.80%,,,45.80%,0.30%,,,,5.20%,4.30%,0.80%,,,2.80%,7.50%,3.60%,,4.90%
2760,,,6.60%,12.30%,0.20%,,,42.40%,8.40%,,,,3.00%,4.90%,,,,2.90%,7.50%,3.90%,,7.90%
3130,,,5.80%,7.40%,0.30%,,0.50%,48.80%,10.80%,,,,3.20%,4.90%,,,,0.60%,6.00%,4.30%,,7.40%
3430,,,4.00%,8.70%,0.20%,1.00%,1.70%,48.10%,13.00%,,,,1.50%,4.30%,,,,,6.10%,4.90%,,6.60%
3530,,,4.20%,9.80%,0.00%,1.30%,4.40%,37.20%,17.50%,,,3.10%,1.80%,4.80%,,,,,4.40%,5.00%,0.90%,5.70%
3790,,,3.30%,7.70%,,1.50%,1.00%,41.60%,13.10%,0.30%,,7.30%,1.90%,3.40%,,,,,7.00%,4.20%,2.40%,5.30%
4075,,,1.90%,4.20%,,3.40%,3.40%,30.50%,19.70%,2.10%,,9.90%,0.70%,3.90%,,,,,5.30%,3.10%,1.50%,10.30%
4700,,,1.00%,2.20%,,2.40%,4.40%,22.50%,22.50%,7.30%,,18.10%,,2.00%,,,,,2.60%,2.10%,4.80%,8.00%
5750,,,0.20%,2.20%,,2.00%,4.80%,24.00%,26.00%,10.90%,,21.60%,,0.40%,,,,,0.30%,,2.80%,4.80%
6270,,,,2.50%,,3.60%,6.70%,16.50%,18.80%,14.70%,,30.40%,,,,,,,0.70%,,2.70%,3.60%
7135,,,,0.80%,,1.70%,7.20%,11.40%,26.90%,18.00%,,26.50%,,,,,,,,,3.40%,4.20%
8700,,,,1.70%,,1.50%,5.90%,11.40%,22.50%,25.80%,,29.10%,,,,,,,,,2.20%,
10000,,,,1.20%,,,,10.20%,14.10%,39.30%,,35.10%,,,,,,,,,,
