Number,Driver,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV
#1,Mario,6,2,4,2,3,7,7,7,7,4,4,4,4,3
#2,Luigi,6,2,5,1,3,7,7,7,7,5,5,5,5,3
#3,Peach,4,3,3,3,4,6,6,6,6,5,5,5,5,1
#4,Daisy,4,3,3,3,4,6,6,6,6,5,5,5,5,1
#5,Yoshi,4,3,3,3,4,6,6,6,6,5,5,5,5,1
#6,Toad,3,4,3,4,4,4,4,4,4,7,7,7,7,3
#7,Toadette,2,5,4,2,4,3,3,3,3,7,7,7,7,3
#8,Koopa Troopa,2,4,1,5,4,3,3,3,3,8,8,8,8,4
#9,Bowser,10,0,6,0,0,10,10,10,10,0,0,0,0,6
#10,Donkey Kong,8,1,10,0,1,9,9,9,9,2,2,2,2,4
#11,Wario,9,0,5,1,0,10,10,10,10,1,1,1,1,5
#12,Waluigi,8,1,10,0,1,9,9,9,9,2,2,2,2,4
#13,Rosalina,7,1,9,3,2,8,8,8,8,3,3,3,3,4
#14,Metal Mario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
#15,Pink Gold Peach,10,1,8,1,1,8,8,8,8,3,3,3,3,3
#16,Lakitu,2,4,1,5,4,3,3,3,3,8,8,8,8,4
#17,Shy Guy,3,4,3,4,4,4,4,4,4,7,7,7,7,3
#18,Baby Mario,1,5,2,4,5,2,2,2,2,8,8,8,8,5
#19,Baby Luigi,1,5,2,4,5,2,2,2,2,8,8,8,8,5
#20,Baby Peach,0,4,3,5,5,1,1,1,1,10,10,10,10,6
#21,Baby Daisy,0,4,3,5,5,1,1,1,1,10,10,10,10,6
#22,Baby Rosalina,0,5,4,3,5,1,1,1,1,9,9,9,9,6
#23,Larry,3,4,3,4,4,4,4,4,4,7,7,7,7,3
#24,Lemmy,0,5,4,3,5,1,1,1,1,9,9,9,9,6
#25,Wendy,2,5,4,2,4,3,3,3,3,7,7,7,7,3
#26,Ludwig,6,2,4,2,3,7,7,7,7,4,4,4,4,3
#27,Iggy,6,2,5,1,3,7,7,7,7,5,5,5,5,3
#28,Roy,8,1,10,0,1,9,9,9,9,2,2,2,2,4
#29,Morton,10,0,6,0,0,10,10,10,10,0,0,0,0,6
#30,Mii,6,2,4,2,3,7,7,7,7,4,4,4,4,3
#31,Tanooki Mario,5,3,7,1,4,6,6,6,6,5,5,5,5,1
#32,Link,7,1,9,3,2,8,8,8,8,3,3,3,3,4
#33,Villager (male),5,3,7,1,4,6,6,6,6,5,5,5,5,1
#34,Isabelle,2,5,4,2,4,3,3,3,3,7,7,7,7,3
#35,Cat Peach,3,4,2,3,4,5,5,5,5,6,6,6,6,3
#36,Dry Bowser,9,0,5,1,0,10,10,10,10,1,1,1,1,5
#37,Villager (female),3,4,2,3,4,5,5,5,5,6,6,6,6,3
#38,Gold Mario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
#39,Dry Bones,1,5,2,4,5,2,2,2,2,8,8,8,8,5
#40,Bowser Jr,2,4,1,5,4,3,3,3,3,8,8,8,8,4
#41,King Boo,7,1,9,3,2,8,8,8,8,3,3,3,3,4
#42,Inkling Girl,3,4,2,3,4,5,5,5,5,6,6,6,6,3
#43,Inkling Boy,5,3,7,1,4,6,6,6,6,5,5,5,5,1
#44,Link (BotW),7,1,9,3,2,8,8,8,8,3,3,3,3,4
#45,Birdo,4,3,3,3,4,6,6,6,6,5,5,5,5,1
#46,Kamek,6,2,5,1,3,7,7,7,7,5,5,5,5,3
#47,Petey Piranha,10,1,8,1,1,8,8,8,8,3,3,3,3,6
#48,Wiggler,8,1,10,0,1,9,9,9,9,2,2,2,2,4
#49,Diddy Kong,3,4,2,3,4,5,5,5,5,6,6,6,6,3
#50,Funky Kong,9,0,5,1,0,10,10,10,10,1,1,1,1,5
#51,Pauline,7,1,9,3,2,8,8,8,8,3,3,3,3,4
#52,Peachette,4,3,3,3,4,6,6,6,6,5,5,5,5,1
,,,,,,,,,,,,,,,
