Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
26,tt0249174,4/28/2024,4/28/2024,,Super Mario Bros. 3,Super Mario Bros. 3,https://www.imdb.com/title/tt0249174/,Video Game,9.2,,1988,"Action, Adventure, Family, Fantasy",6097,7/15/1989,"Shigeru Miyamoto, Takashi Tezuka"
31,tt0221606,4/28/2024,4/28/2024,,Super Mario World,Super Mario World,https://www.imdb.com/title/tt0221606/,Video Game,9.2,,1990,"Action, Adventure, Family, Fantasy",5840,8/23/1991,Takashi Tezuka
67,tt0204657,4/28/2024,4/28/2024,,Super Mario 64,Super Mario 64,https://www.imdb.com/title/tt0204657/,Video Game,9.1,,1996,"Action, Adventure, Comedy, Family, Fantasy",7557,9/29/1996,Shigeru Miyamoto
168,tt0879874,4/28/2024,4/28/2024,,Super Mario Galaxy,Super Mario Galaxy,https://www.imdb.com/title/tt0879874/,Video Game,9.1,,2007,"Action, Adventure, Family, Fantasy, Sci-Fi",6639,11/12/2007,Yoshiaki Koizumi
110,tt0293062,4/28/2024,4/28/2024,,Super Smash Bros. Melee,Dai-Rantô Smash Brothers Deluxe,https://www.imdb.com/title/tt0293062/,Video Game,9,,2001,"Action, Fantasy, Sci-Fi, Sport",3651,12/3/2001,Masahiro Sakurai
186,tt1698007,4/28/2024,4/28/2024,,Super Mario Galaxy 2,Super Mario Galaxy 2,https://www.imdb.com/title/tt1698007/,Video Game,9,,2010,"Action, Adventure, Family, Fantasy, Sci-Fi",3263,5/23/2010,Koichi Hayashida
237,tt6423026,4/28/2024,4/28/2024,,Super Mario Odyssey,Super Mario Odyssey,https://www.imdb.com/title/tt6423026/,Video Game,9,,2017,"Action, Adventure, Family, Fantasy, Sci-Fi",6582,10/27/2017,Kenta Motokura
16,tt0177266,4/28/2024,4/28/2024,,Super Mario Bros.,Super Mario Bros.,https://www.imdb.com/title/tt0177266/,Video Game,8.9,,1985,"Action, Adventure, Fantasy",7585,11/17/1985,Shigeru Miyamoto
44,tt0221603,4/28/2024,4/28/2024,,Super Mario All-Stars,Sûpâ Mario korekushon,https://www.imdb.com/title/tt0221603/,Video Game,8.9,,1993,"Action, Adventure, Family, Fantasy",1276,8/1/1993,
128,tt0419020,4/28/2024,4/28/2024,,Paper Mario: The Thousand-Year Door,Paper Mario RPG,https://www.imdb.com/title/tt0419020/,Video Game,8.9,,2004,"Adventure, Fantasy",1857,10/11/2004,Ryota Kawade
242,tt5370130,4/28/2024,4/28/2024,,Super Smash Bros. Ultimate,Super Smash Bros. Ultimate,https://www.imdb.com/title/tt5370130/,Video Game,8.8,,2018,"Action, Adventure, Fantasy, Sci-Fi, Sport",4789,12/7/2018,Masahiro Sakurai
66,tt0271807,4/28/2024,4/28/2024,,Super Mario RPG: Legend of the Seven Stars,Super Mario RPG,https://www.imdb.com/title/tt0271807/,Video Game,8.7,,1996,"Action, Adventure, Family, Fantasy",1611,5/13/1996,"Chihiro Fujioka, Yoshihiko Maekawa"
54,tt0241385,4/28/2024,4/28/2024,,Donkey Kong Country,Donkey Kong Country,https://www.imdb.com/title/tt0241385/,Video Game,8.6,,1994,"Action, Adventure, Comedy",3473,11/21/1994,Tim Stamper
65,tt0242419,4/28/2024,4/28/2024,,Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong Country 2: Diddy's Kong Quest,https://www.imdb.com/title/tt0242419/,Video Game,8.6,,1995,"Action, Adventure",2062,12/4/1995,Tim Stamper
73,tt0234202,4/28/2024,4/28/2024,,Mario Kart 64,Mario Kart 64,https://www.imdb.com/title/tt0234202/,Video Game,8.6,,1996,"Action, Family, Fantasy, Sport",3711,2/12/1997,Hideki Konno
111,tt18573802,4/28/2024,4/28/2024,,Super Mario World: Super Mario Advance 2,Super Mario World: Super Mario Advance 2,https://www.imdb.com/title/tt18573802/,Video Game,8.6,,2001,"Action, Adventure, Fantasy",85,2/11/2002,Hiroyuki Kimura
171,tt0928380,4/28/2024,4/28/2024,,Super Smash Bros. Brawl,Dairantô Sumasshu Burazâzu ekkusu,https://www.imdb.com/title/tt0928380/,Video Game,8.6,,2008,"Action, Adventure, Fantasy, Sci-Fi, Sport",5402,3/9/2008,Masahiro Sakurai
234,tt6608826,4/28/2024,4/28/2024,,Mario Kart 8 Deluxe,Mario Kart 8 Deluxe,https://www.imdb.com/title/tt6608826/,Video Game,8.6,,2017,"Action, Fantasy, Sci-Fi, Sport",4091,4/28/2017,Yusuke Shiraiwa
60,tt0222407,4/28/2024,4/28/2024,,Super Mario World 2: Yoshi's Island,Sûpâ Mario: Yosshî Airando,https://www.imdb.com/title/tt0222407/,Video Game,8.5,,1995,"Action, Adventure, Fantasy",2320,10/4/1995,"Shigefumi Hino, Hideki Konno, Toshihiko Nakago, Takashi Tezuka"
100,tt0276388,4/28/2024,4/28/2024,,Paper Mario,Paper Mario,https://www.imdb.com/title/tt0276388/,Video Game,8.5,,2000,"Action, Adventure, Comedy, Fantasy",1424,10/5/2001,Ryota Kawade
118,tt18688458,4/28/2024,4/28/2024,,Super Mario Advance 4: Super Mario Bros. 3,Super Mario Advance 4: Super Mario Bros. 3,https://www.imdb.com/title/tt18688458/,Video Game,8.5,,2003,"Action, Adventure, Fantasy",96,10/21/2003,Hiroyuki Kimura
